epoch,train_loss,train_acc_fruit,train_acc_quality,val_loss,val_acc_fruit,val_acc_quality,lr
1,1.865986186793332,0.46494156928213687,0.7967445742904842,1.3910005057764332,0.5886939571150097,0.884990253411306,0.001
2,1.418918452398208,0.5918196994991652,0.8597662771285476,1.0772426874316923,0.6978557504873294,0.9220272904483431,0.001
3,1.2031610833981599,0.6540066777963273,0.8852253756260434,0.931784102791234,0.7524366471734892,0.9239766081871345,0.001
4,1.0797032529802275,0.6936560934891486,0.8939899833055092,0.9781846737536306,0.7290448343079922,0.9005847953216374,0.001
5,1.007930077575085,0.7199499165275459,0.9052587646076795,0.7738390573632647,0.797270955165692,0.9278752436647173,0.001
6,0.9551110476603691,0.7353923205342237,0.916110183639399,0.8383841737669114,0.7738791423001949,0.935672514619883,0.001
7,0.9039301246354894,0.7470784641068448,0.9131886477462438,0.6579769143351802,0.8440545808966862,0.9434697855750487,0.001
8,0.8257371171288976,0.7783806343906511,0.9215358931552587,0.7821921110153198,0.8070175438596491,0.9298245614035088,0.001
9,0.848370080300683,0.7717028380634391,0.9169449081803005,0.6484082655774223,0.8460038986354775,0.9473684210526315,0.001
10,0.7786520064772668,0.7879799666110183,0.9236227045075125,0.6354096196664472,0.834307992202729,0.9298245614035088,0.001
